12,CVE-2021-20089,purl,not available,Not available,not available,,,
13,CVE-2021-23663,sey,#main#,simple JavaScript build tool with declarative and easy configuration,Unable to install the pacakage,,,
14,CVE-2021-43787,nodebb,not available,not available,not available,,,
15,link,utils-copy,#main#,copy or deep clone a value to an arbitrary depth.,problematic,,,
16,link,zrender,not available,not available,not available,,,
17,link,ioredis,public-problematic,public-problematic,public-problematic,,,
18,link,urijs,not available,not available,not available,,,
19,link,noble,,,public-problematic,,,
20,link,confidence,not available,not available,not available,,,
21,Link,domify,parse,not available,not available,,,
22,link,dustjs-linkedin,not available,not available,not available,,,
23,link,mootools-more,not available,not available,not available,,,
24,link,mongoose,public-problematic,public-problematic,public-problematic,,,
